Title,Created Date,smokeTests_certificate,sanity_sanityTests_certificate,regressionTests_certificate,useCaseTesting_certificate,endToEnd_systemTests_certificate,uatTest_certificate,databaseTests_certificate,serviceTesting_certificate,loadTests_certificate,stressTests_certificate,spikeTests_certificate,volumeTests_certificate,TipoDeEjecucionCertificate,automatedFunctionality_certificate,candidateToAutomate_certificate,loadTestsExecuted_certificate,loadingScript_certificate,loadTestingCandidate_certificate,executionEnvironment_certificate,Tipo de Incidente,Esfuerzo_certificate,unitTestingDevelopment_certificate,integrationTestingDevelopment_certificate,closedTests_certificate,critical_highBugs_certificate,opinion_certificate,EVC_CelulaCertificate,Enviroment
CERTI - CANAL PERSONAS - LEGIÓN DE HIERRO: Smoke Test TDC,08/02/2023,T,T,T,F,T,F,F,F,F,F,F,F,Manual,F,F,F,F,F,QA,Soporte estructural,6,F,F,F,F,Satisfactorio,Aceleradora/PFM,
CERTI - CICLO DE CREDITO - FABRICANTES: Bloqueos y desbloqueos FATCA ,08/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Cliente mas Originación,
CERTI-CICLO CRÉDITO-AREA 51: Actualización de Reporte seguros cartera ,08/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Mantenimiento Producto Activo,
CERTI-CICLO CRÉDITO-AREA 51:Cambio de comisión por cancelación anticipada de créditos directos,08/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Mantenimiento Producto Activo,
CERTI - REQ CLIENTE - NEW CORE: Cobro por Cuenta Ajena Comercializadora MEME,09/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI - BAMNET EMPRESAS - CHANNELS: Trazabilidad ACH BAMNet Empresas,09/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,F,F,T,F,Satisfactorio,Otro,
CERTI - CICLO DE CREDITO - FABRICANTES: Hacer cambios en la forma en la que las cifras se presentan en el módulo de LME,09/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,T,T,F,Satisfactorio,Ciclo de Crédito/Cliente mas Originación,
"CERTI - MEDIOS DE PAGO - QUE EXPLOTA: Reporte de información para el IRS, Clientes US Person",10/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,T,T,F,Satisfactorio,Canales - Medios de Pago - Mercadeo/Qué Explota,
CERTI - BEG 18 - NOMINA PPR: Ajustes de notificación SMS BamAvisa,10/02/2023,F,F,T,T,T,F,T,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,14,F,F,T,F,Satisfactorio,Beg 18/Nómina PPR,
CERTI -  BEG 18 - Nomina PPR: Archivo conciliación Banco del Proyecto Incremental ADI en PO,10/02/2023,F,F,T,T,T,T,T,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,17,F,F,T,F,Satisfactorio,Beg 18/Nómina PPR,
CERTI - PTD - ETAPA 2.5 CANAL PERSONAS: Actualización de datos del cliente App y Web,15/02/2023,T,T,T,T,T,T,T,T,T,T,T,T,Manual,T,T,T,T,T,QA,Express,0,T,T,T,T,,"Canal Empresas/Etapa 2,5",
